Base Postcode,Base Latitude,Base Longitude,Postcode,Latitude,Longitude
EX5 1EW,50.6996,-3.39139,BA21 3FE,50.954368,-2.653863
EX5 1EW,50.6996,-3.39139,BA21 3FF,50.956251,-2.669296
EX5 1EW,50.6996,-3.39139,BA21 3FG,50.950561,-2.65465
EX5 1EW,50.6996,-3.39139,BA21 3FH,50.949701,-2.657114
EX5 1EW,50.6996,-3.39139,BA21 3FJ,50.955316,-2.670834
EX5 1EW,50.6996,-3.39139,BA21 3FL,50.955363,-2.668913
EX5 1EW,50.6996,-3.39139,BA21 3FN,50.955758,-2.670655
EX5 1EW,50.6996,-3.39139,BA21 3FP,50.955987,-2.671456
EX5 1EW,50.6996,-3.39139,BA21 3FQ,50.956137,-2.670462
EX5 1EW,50.6996,-3.39139,BA21 3FR,50.956111,-2.667201
EX5 1EW,50.6996,-3.39139,BA21 3FS,50.955648,-2.667821
EX5 1EW,50.6996,-3.39139,BA21 3FT,50.955697,-2.667223
EX5 1EW,50.6996,-3.39139,BA21 3FU,50.95587,-2.666784
EX5 1EW,50.6996,-3.39139,BA21 3FW,50.956954,-2.665988
EX5 1EW,50.6996,-3.39139,BA21 3FX,50.956625,-2.666909
EX5 1EW,50.6996,-3.39139,BA21 3FY,50.956925,-2.666315
EX5 1EW,50.6996,-3.39139,BA21 3FZ,50.95599,-2.666316
EX5 1EW,50.6996,-3.39139,BA21 3GA,50.956344,-2.665681
EX5 1EW,50.6996,-3.39139,BA21 3GB,50.957498,-2.666694
EX5 1EW,50.6996,-3.39139,BA21 3GT,50.951953,-2.661175
EX5 1EW,50.6996,-3.39139,BA21 3GU,50.952885,-2.660177
EX5 1EW,50.6996,-3.39139,BA21 3GW,50.951887,-2.652334
EX5 1EW,50.6996,-3.39139,BA21 3GX,50.952639,-2.661043
EX5 1EW,50.6996,-3.39139,BA21 3GY,50.952346,-2.661836
EX5 1EW,50.6996,-3.39139,BA21 3GZ,50.952244,-2.660538
EX5 1EW,50.6996,-3.39139,BA21 3HA,50.945897,-2.655509
EX5 1EW,50.6996,-3.39139,BA21 3HB,50.946224,-2.654973
EX5 1EW,50.6996,-3.39139,BA21 3HD,50.946901,-2.654398
EX5 1EW,50.6996,-3.39139,BA21 3HE,50.94537,-2.654861
EX5 1EW,50.6996,-3.39139,BA21 3HF,50.945499,-2.654279
EX5 1EW,50.6996,-3.39139,BA21 3HG,50.948019,-2.655453
EX5 1EW,50.6996,-3.39139,BA21 3HH,50.951352,-2.646389
EX5 1EW,50.6996,-3.39139,BA21 3HJ,50.951775,-2.657599
EX5 1EW,50.6996,-3.39139,BA21 3HL,50.953135,-2.657319
EX5 1EW,50.6996,-3.39139,BA21 3HN,50.949996,-2.655837
EX5 1EW,50.6996,-3.39139,BA21 3HP,50.952444,-2.656996
EX5 1EW,50.6996,-3.39139,BA21 3HQ,50.948347,-2.654803
EX5 1EW,50.6996,-3.39139,BA21 3HR,50.950894,-2.657515
EX5 1EW,50.6996,-3.39139,BA21 3HS,50.950442,-2.658036
EX5 1EW,50.6996,-3.39139,BA21 3HT,50.949739,-2.658225
EX5 1EW,50.6996,-3.39139,BA21 3HU,50.946525,-2.654165
EX5 1EW,50.6996,-3.39139,BA21 3HW,50.950199,-2.656723
EX5 1EW,50.6996,-3.39139,BA21 3HX,50.949904,-2.65938
EX5 1EW,50.6996,-3.39139,BA21 3HY,50.950544,-2.660628
EX5 1EW,50.6996,-3.39139,BA21 3HZ,50.953741,-2.661357
EX5 1EW,50.6996,-3.39139,BA21 3JA,50.946482,-2.655389
EX5 1EW,50.6996,-3.39139,BA21 3JB,50.946069,-2.656835
EX5 1EW,50.6996,-3.39139,BA21 3JD,50.945277,-2.656938
EX5 1EW,50.6996,-3.39139,BA21 3JE,50.94616,-2.658203
EX5 1EW,50.6996,-3.39139,BA21 3JF,50.947899,-2.657644
EX5 1EW,50.6996,-3.39139,BA21 3JG,50.947662,-2.658281
EX5 1EW,50.6996,-3.39139,BA21 3JH,50.949003,-2.658115
EX5 1EW,50.6996,-3.39139,BA21 3JJ,50.954247,-2.661022
EX5 1EW,50.6996,-3.39139,BA21 3JL,50.947507,-2.653809
EX5 1EW,50.6996,-3.39139,BA21 3JN,50.94878,-2.654453
EX5 1EW,50.6996,-3.39139,BA21 3JP,50.950483,-2.661908
EX5 1EW,50.6996,-3.39139,BA21 3JQ,50.948953,-2.658997
EX5 1EW,50.6996,-3.39139,BA21 3JR,50.946625,-2.650651
EX5 1EW,50.6996,-3.39139,BA21 3JS,50.948165,-2.651897
EX5 1EW,50.6996,-3.39139,BA21 3JT,50.946567,-2.65149
EX5 1EW,50.6996,-3.39139,BA21 3JU,50.948297,-2.65251
EX5 1EW,50.6996,-3.39139,BA21 3JW,50.950207,-2.654972
EX5 1EW,50.6996,-3.39139,BA21 3JX,50.951349,-2.648567
EX5 1EW,50.6996,-3.39139,BA21 3JY,50.947668,-2.639377
EX5 1EW,50.6996,-3.39139,BA21 3JZ,50.952264,-2.658617
EX5 1EW,50.6996,-3.39139,BA21 3LA,50.952437,-2.661381
EX5 1EW,50.6996,-3.39139,BA21 3LB,50.956675,-2.651318
EX5 1EW,50.6996,-3.39139,BA21 3LD,50.954631,-2.658337
EX5 1EW,50.6996,-3.39139,BA21 3LE,50.953874,-2.658597
EX5 1EW,50.6996,-3.39139,BA21 3LF,50.954876,-2.65659
EX5 1EW,50.6996,-3.39139,BA21 3LG,50.953524,-2.658392
EX5 1EW,50.6996,-3.39139,BA21 3LH,50.953333,-2.658788
EX5 1EW,50.6996,-3.39139,BA21 3LJ,50.954345,-2.659543
EX5 1EW,50.6996,-3.39139,BA21 3LL,50.955433,-2.661238
EX5 1EW,50.6996,-3.39139,BA21 3LN,50.955675,-2.659747
EX5 1EW,50.6996,-3.39139,BA21 3LP,50.956095,-2.657019
EX5 1EW,50.6996,-3.39139,BA21 3LQ,50.953911,-2.656746
EX5 1EW,50.6996,-3.39139,BA21 3LR,50.955618,-2.656998
EX5 1EW,50.6996,-3.39139,BA21 3LS,50.954822,-2.654652
EX5 1EW,50.6996,-3.39139,BA21 3LT,50.954439,-2.6557
EX5 1EW,50.6996,-3.39139,BA21 3LU,50.956684,-2.658011
EX5 1EW,50.6996,-3.39139,BA21 3LW,50.9551,-2.659625
EX5 1EW,50.6996,-3.39139,BA21 3LX,50.95559,-2.661981
EX5 1EW,50.6996,-3.39139,BA21 3LY,50.955129,-2.663982
